round,alive_nodes,dead_nodes,round_airtime_s,elapsed_channel_time_s,generated_round,delivered_round,channel_drops_round,energy_drops_round,route_drops_round,fallback_direct_round,generated_total,attempted_total,delivered_total,channel_drops_total,energy_drops_total,route_drops_total,pdr,goodput_bps,average_delay_s,frame_attempts,retransmissions,residual_energy_j
1,100,0,0.7675519999999999,0.7675519999999999,100,100,0,0,0,0,100,100,100,0,0,0,1.0,130284.33252730762,0.390958922469246,268,0,49.95882231979394
2,100,0,0.7675519999999999,1.5351039999999998,100,100,0,0,0,0,200,200,200,0,0,0,1.0,130284.33252730762,0.3919326836534354,536,0,49.91545465167442
3,100,0,0.7675519999999999,2.302656,100,100,0,0,0,0,300,300,300,0,0,0,1.0,130284.3325273076,0.39290644510651174,804,0,49.871487538119574
4,100,0,0.7675519999999999,3.0702079999999996,100,100,0,0,0,0,400,400,400,0,0,0,1.0,130284.33252730762,0.3938802049461955,1072,0,49.83025043316296
5,100,0,0.7675519999999998,3.8377599999999994,100,100,0,0,0,0,500,500,500,0,0,0,1.0,130284.33252730762,0.3948539645516818,1340,0,49.789299426992635
6,100,0,0.7675519999999998,4.605312,100,100,0,0,0,0,600,600,600,0,0,0,1.0,130284.3325273076,0.3958277242778808,1608,0,49.748333534683944
7,100,0,0.7675519999999998,5.372864,100,100,0,0,0,0,700,700,700,0,0,0,1.0,130284.3325273076,0.395983198441276,1876,0,49.70759087882719
8,100,0,0.7675519999999998,6.140416,100,100,0,0,0,0,800,800,800,0,0,0,1.0,130284.33252730759,0.3956272438450811,2144,0,49.667213390237556
9,100,0,0.7675519999999998,6.907968,100,100,0,0,0,0,900,900,900,0,0,0,1.0,130284.33252730759,0.39493033711401543,2412,0,49.626591162452954
10,100,0,0.7675519999999998,7.675520000000001,100,100,0,0,0,0,1000,1000,1000,0,0,0,1.0,130284.33252730759,0.39399476377608755,2680,0,49.58579612467235
11,100,0,0.7675519999999998,8.443072,100,100,0,0,0,0,1100,1100,1100,0,0,0,1.0,130284.33252730759,0.3928856146566236,2948,0,49.54450209599633
12,100,0,0.7675519999999998,9.210624000000001,100,100,0,0,0,0,1200,1200,1200,0,0,0,1.0,130284.33252730758,0.3916462835619997,3216,0,49.503813715853255
13,100,0,0.7675519999999999,9.978176000000001,100,100,0,0,0,0,1300,1300,1300,0,0,0,1.0,130284.33252730758,0.39030681262299094,3484,0,49.463028628857174
14,100,0,0.7675519999999999,10.745728000000002,100,100,0,0,0,0,1400,1400,1400,0,0,0,1.0,130284.33252730758,0.3892978037157163,3752,0,49.42011780865516
15,100,0,0.7675519999999998,11.513280000000002,100,100,0,0,0,0,1500,1500,1500,0,0,0,1.0,130284.33252730758,0.3885531636339234,4020,0,49.379980297705124
16,100,0,0.7675519999999998,12.280832000000002,100,100,0,0,0,0,1600,1600,1600,0,0,0,1.0,130284.33252730758,0.38802332349520163,4288,0,49.33934161861019
